arquivo,circulos_detectados
84.jpg,23
63.jpg,22
89.jpg,24
0.jpg,25
83.jpg,10
30.jpg,23
81.jpg,26
22.jpg,6
90.jpg,22
61.jpg,11
19.jpg,9
56.jpg,4
73.jpg,15
48.jpg,24
97.jpg,23
34.jpg,24
52.jpg,24
87.jpg,21
24.jpg,23
77.jpg,15
39.jpg,26
70.jpg,11
98.jpg,26
59.jpg,18
17.jpg,9
21.jpg,24
64.jpg,21
37.jpg,13
2.jpg,23
31.jpg,27
69.jpg,19
26.jpg,26
54.jpg,13
96.jpg,20
1.jpg,27
18.jpg,24
8.jpg,26
11.jpg,3
65.jpg,20
12.jpg,21
79.jpg,24
9.jpg,19
50.jpg,23
75.jpg,23
60.jpg,26
66.jpg,24
25.jpg,22
91.jpg,24
36.jpg,25
40.jpg,22
38.jpg,24
82.jpg,26
99.jpg,31
4.jpg,26
33.jpg,5
14.jpg,24
29.jpg,18
43.jpg,9
47.jpg,25
72.jpg,22
23.jpg,26
3.jpg,25
85.jpg,16
86.jpg,17
100.jpg,22
58.jpg,5
74.jpg,23
27.jpg,25
42.jpg,26
10.jpg,25
51.jpg,26
45.jpg,23
95.jpg,22
76.jpg,25
80.jpg,21
5.jpg,25
28.jpg,26
46.jpg,22
67.jpg,23
13.jpg,11
68.jpg,23
49.jpg,24
88.jpg,6
71.jpg,19
57.jpg,20
15.jpg,23
94.jpg,20
6.jpg,25
92.jpg,21
35.jpg,25
16.jpg,18
93.jpg,26
7.jpg,20
32.jpg,23
20.jpg,4
53.jpg,8
55.jpg,18
78.jpg,24
62.jpg,20
41.jpg,26
