arquivo,circulos_detectados
84.jpg,4
63.jpg,5
89.jpg,5
0.jpg,5
83.jpg,2
30.jpg,5
81.jpg,4
22.jpg,1
90.jpg,5
61.jpg,5
19.jpg,4
56.jpg,5
73.jpg,4
48.jpg,5
97.jpg,4
34.jpg,4
52.jpg,5
87.jpg,5
24.jpg,4
77.jpg,4
39.jpg,5
70.jpg,5
98.jpg,5
59.jpg,4
17.jpg,5
21.jpg,4
64.jpg,5
37.jpg,1
2.jpg,5
31.jpg,4
69.jpg,5
26.jpg,4
54.jpg,5
96.jpg,4
1.jpg,5
18.jpg,5
8.jpg,4
11.jpg,3
65.jpg,5
12.jpg,2
79.jpg,5
9.jpg,4
50.jpg,4
75.jpg,5
60.jpg,5
66.jpg,4
25.jpg,5
91.jpg,5
36.jpg,4
40.jpg,5
38.jpg,4
82.jpg,5
99.jpg,6
4.jpg,4
33.jpg,1
14.jpg,5
29.jpg,5
43.jpg,5
47.jpg,5
72.jpg,4
23.jpg,5
3.jpg,5
85.jpg,4
86.jpg,5
100.jpg,3
58.jpg,1
74.jpg,5
27.jpg,4
42.jpg,5
10.jpg,4
51.jpg,5
45.jpg,5
95.jpg,4
76.jpg,5
80.jpg,4
5.jpg,4
28.jpg,5
46.jpg,5
67.jpg,4
13.jpg,1
68.jpg,4
49.jpg,5
88.jpg,5
71.jpg,5
57.jpg,5
15.jpg,5
94.jpg,4
6.jpg,5
92.jpg,5
35.jpg,5
16.jpg,5
93.jpg,5
7.jpg,4
32.jpg,4
20.jpg,2
53.jpg,4
55.jpg,4
78.jpg,5
62.jpg,5
41.jpg,4
